"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%4) - 0.5 + (Event #/(4956 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
129941,107555,102,140564,115058,110,453,419,0,0.534093,279,205,0,34,49,0,15,78,0,55,112,0,0.498699
171300,137241,112,223137,180109,113,323,242,0,1.5351,271,261,0,-23,83,0,116,101,0,-8,47,0,0.517241
194388,139284,117,62321,49920,110,174,235,0,0.535707,120,93,0,44,72,0,11,67,0,214,178,0,0.529928
312719,217330,124,70119,46092,116,677,446,0,0.536514,115,125,0,87,89,0,67,51,0,407,249,0,0.539688
450576,227084,154,411117,211565,148,7406,3707,69,1.53672,447,305,0,233,136,0,253,150,0,1178,676,0,0.540664
207808,143037,114,83240,67406,108,305,172,0,0.538128,-27,71,0,-20,34,0,64,67,0,294,164,0,0.572869
509169,271799,143,204777,109932,137,3990,2030,50,0.541356,122,108,0,-66,86,0,106,102,0,1036,623,0,0.608979
127568,103287,106,156734,126591,108,361,302,0,2.54176,74,103,0,107,92,0,31,103,0,-57,34,0,0.612882
311218,219542,122,148178,91472,129,1238,887,0,-0.458039,118,122,0,-103,29,0,129,106,0,240,188,0,0.61581
144018,126706,111,231065,204914,112,589,493,0,2.54257,500,451,0,137,108,0,-18,35,0,27,78,0,0.624593
203834,157483,121,79737,63662,109,3111,2069,37,-0.456425,192,188,0,-27,84,0,134,167,0,897,733,0,0.634353
583966,295307,147,587571,312487,151,2553,1376,32,0.54539,239,208,0,93,114,0,272,92,0,1146,718,0,0.661679
270796,188744,135,84426,57856,117,695,404,0,1.54559,79,117,0,52,86,0,12,108,0,343,314,0,0.662655
190503,147830,113,62572,47425,106,892,561,0,0.548618,88,95,0,94,127,0,-28,60,0,137,179,0,0.687053
437924,231411,141,367470,216372,138,237,176,0,1.54882,800,641,0,136,144,0,459,329,0,2989,1907,39,0.688029
132694,114544,121,127802,116062,106,239,204,0,0.549425,232,289,0,-58,46,0,16,53,0,49,65,0,0.697788
353078,249222,128,141401,94661,125,1404,1033,7,1.54963,72,124,0,91,89,0,48,112,0,596,339,0,0.706571
346147,255995,122,142433,102901,119,1145,738,0,0.551039,183,171,0,44,77,0,-10,48,0,306,343,0,0.733897
518205,261830,138,306245,164550,143,6897,3532,65,-0.446742,380,363,0,105,97,0,390,208,0,1707,963,0,0.772934
345632,238895,121,143221,96355,121,3022,1736,39,0.55346,304,251,0,85,73,0,145,101,0,1014,759,0,0.772934
205979,160836,115,83827,64997,110,1027,673,0,-0.443514,110,147,0,35,63,0,-35,30,0,331,261,0,0.828562
486436,249237,140,238548,122608,142,1926,835,0,0.557494,710,534,0,33,89,0,410,245,0,2278,1218,26,0.834418
416530,223540,153,226798,129096,138,3474,1572,45,1.5577,401,363,0,73,100,0,188,129,0,1382,878,0,0.843201
147134,122967,113,194858,150105,112,367,231,0,0.559108,105,123,0,71,103,0,54,98,0,18,42,0,0.869551
343657,216138,123,162016,102346,120,2762,1851,31,-0.440286,251,272,0,87,72,0,-27,103,0,925,633,0,0.875407
282166,182763,131,306825,210418,135,1370,960,0,0.560722,259,265,0,142,132,0,14,67,0,160,179,0,0.891997
380558,270485,129,171924,128945,119,1171,880,0,-0.438673,230,282,0,325,243,0,143,76,0,660,421,0,0.898829
204068,136705,129,223437,155058,116,1082,854,0,1.56173,247,275,0,-88,121,0,9,73,0,132,76,0,0.900781
437595,253601,139,429249,211966,154,5048,2410,57,0.562336,383,249,0,156,100,0,111,86,0,948,570,0,0.909564
148023,130429,107,115590,102010,104,88,74,0,1.56254,176,174,0,70,56,0,-6,67,0,227,208,0,0.909564
517239,269141,136,357168,191545,143,10585,5023,72,0.563143,638,540,0,62,145,0,419,206,0,2403,1464,33,0.912492
196989,125946,117,330177,256492,122,2102,1208,25,1.56334,476,398,0,124,151,0,208,96,0,1071,799,0,0.913468
