"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
55856.5,33415,109550,24037.4,17247,91338.6,59.64,59.64,-13.86,14.88,59.4,94.4,0.317798
82386.5,50476,106967,23651.9,14245,108814,57.96,40.74,24.36,44.64,67.5,76.11,0.319854
83416.9,49774,109833,52205.2,29082,117644,99.12,112.98,19.32,123.69,90.9,162.25,0.320883
74725,57283,85490.9,18430.4,13687,88248.5,42.84,12.6,35.28,66.96,64.8,82.01,0.320883
69980.4,52698,87028.6,14537,11662,81692.6,35.28,15.54,-14.7,41.85,33.3,63.13,0.320883
60847.5,40997,97268.1,41310.4,26749,101212,50.4,99.96,27.3,51.15,59.4,80.83,0.320883
37639,33679,73241.8,20103.7,14443,91221.9,18.48,48.3,-18.06,13.95,24.3,92.63,0.321911
92087.1,58709,102795,28148.4,21129,87308.1,115.08,63.42,86.94,57.66,99.9,137.47,0.328082
36352.4,26529,89803.3,39790,23519,110875,107.52,58.8,49.56,18.6,61.2,73.16,0.329111
88573.8,53077,109365,31838.5,20493,101819,42.84,56.28,118.44,107.88,51.3,70.21,0.331168
73894.1,54844,88300,24732.1,18968,85451.5,31.08,59.22,41.16,53.94,35.1,62.54,0.333225
45379.6,27318,108866,51008.2,24234,137941,168,111.3,7.98,73.47,88.2,148.68,0.333225
60240.6,44442,88833.3,18914.3,15322,80901.1,42,68.46,42.42,61.38,36.9,73.16,0.334253
54413.8,35622,100108,22594.3,16738,88465.8,93.24,62.16,6.3,66.96,58.5,97.94,0.334253
69572.3,47703,95580.8,32408.9,20499,103612,74.76,36.12,-10.92,128.34,94.5,112.1,0.335282
47549.6,40540,76867.5,18481.7,15633,77478.1,31.08,14.7,-5.46,37.2,10.8,31.27,0.338367
73553.9,54207,88926.3,20070.1,15874,82859.7,42,2.94,-9.24,38.13,25.2,99.71,0.338367
68788.3,52191,86377.2,51493.7,43378,77797.3,39.48,63.42,27.72,30.69,35.1,40.12,0.339395
81760,56969,94055.1,24069.4,18340,86009.2,72.24,69.72,4.62,43.71,47.7,160.48,0.339395
66159.8,47680,90936.4,31348.8,25212,81488,88.2,51.24,39.9,25.11,31.5,89.09,0.339395
51086,39993,83714,12545.4,10228,80384.8,31.92,23.1,2.52,29.76,36,50.15,0.340424
64778,42702,99416.7,28004.8,20250,90633.1,53.76,70.14,58.38,79.05,61.2,119.18,0.342481
64833.3,47268,89889.9,21163.8,16832,82402,54.6,9.66,-20.58,27.9,53.1,76.11,0.34968
84892.5,55911,99506.6,24434.8,17703,90456.8,30.24,39.9,69.3,54.87,45,67.26,0.353794
88501.7,54884,105678,33312.7,16828,129735,32.76,44.94,6.3,40.92,24.3,109.74,0.353794
86674,57075,99522.9,42449.4,31443,88476.4,50.4,50.4,49.14,42.78,76.5,170.51,0.353794
54784.8,35628,100774,30496.2,18693,106917,65.52,61.74,60.48,53.01,71.1,112.69,0.357908
48272.7,32422,97575.7,13699.6,11362,79019,20.16,54.6,18.9,60.45,60.3,52.51,0.357908
78346.1,60775,84483.6,22596,18191,81405.7,24.36,40.74,68.46,45.57,5.4,76.7,0.362022
54553.1,40568,88128.4,20344.8,16673,79968.6,-9.24,57.96,-26.04,59.52,25.2,109.74,0.362022
75065.9,53661,91677.7,18566.5,14528,83753.8,30.24,38.64,63,64.17,82.8,80.24,0.367164
88743.9,54452,106808,71499.1,47180,99316.8,113.4,119.7,19.74,51.15,9.9,97.35,0.369221
85512.7,56528,99139.5,23662,18616,83299.9,43.68,63,45.36,23.25,27,15.93,0.37025
76385.4,54122,92494.6,22270.9,17642,82731.4,33.6,4.62,-49.98,38.13,40.5,36.58,0.37025
68420.1,46339,96764.7,32544.1,23095,92349.5,75.6,45.78,-3.36,46.5,51.3,85.55,0.373335
68333.3,49368,90712.4,32762.5,24929,86129.6,43.68,57.12,35.28,56.73,34.2,107.38,0.37642
72702,43638,109185,20454.8,10338,129670,61.32,41.16,-48.72,17.67,54,57.23,0.37642
79850.4,55142,94901.8,19411.6,14254,89249,44.52,55.44,10.5,39.06,23.4,70.21,0.378477
85099,58291,95676,24463.3,18279,87708.7,36.96,41.16,64.68,60.45,49.5,63.13,0.378477
56178.5,44866,82060.2,24183.6,20690,76602,9.24,24.78,-14.28,32.55,5.4,36.58,0.378477
84452.2,59479,93052.3,33980.5,25251,88192.4,61.32,69.72,57.12,44.64,51.3,43.07,0.378477
71123.5,55634,83782.4,25258,19762,83762.1,15.12,53.34,-13.86,26.04,-7.2,73.75,0.379506
40857.6,33868,79061.2,31098.5,21841,93314,38.64,49.98,82.74,7.44,27.9,41.3,0.379506
100073,63354,103520,24382.7,18183,87881.2,28.56,51.66,45.36,35.34,38.7,93.81,0.379506
65324.7,45362,94376.8,20860.6,14818,92260.6,31.92,44.1,56.28,79.05,39.6,100.3,0.381563
89012.7,61072,95519,24500.3,17836,90023,65.52,37.8,-28.98,13.95,71.1,74.93,0.38362
41934.2,32578,84357.5,15839,13370,77638.5,51.24,34.44,-2.94,8.37,63,48.97,0.38362
91853.3,64471,93370.6,26010.6,19731,86393.5,56.28,53.76,15.96,35.34,33.3,123.31,0.38362
89912.9,58961,99939.5,28418.9,20923,89014.9,38.64,76.44,-26.46,40.92,46.8,104.43,0.385677
82952.1,65227,83345.1,30377.8,23046,86385.4,47.88,48.72,71.82,39.06,64.8,77.29,0.387734
123159,82095,98316.9,60795,41743,95447.4,152.04,133.56,72.24,108.81,135,156.35,0.388762
72217.6,53222,88926.6,28750.7,20494,91939.3,46.2,47.88,5.88,70.68,69.3,74.93,0.388762
75152,51047,96482.9,24512,17515,91716.9,37.8,34.44,52.5,44.64,52.2,99.71,0.389791
57421.7,42071,89448.5,17334.2,13995,81173,-8.4,34.86,-23.94,39.99,16.2,89.09,0.390819
50143.1,32655,100633,20522.9,15970,84219.6,66.36,23.94,-15.54,26.04,43.2,96.76,0.391847
82278,62871,85765.6,28087.9,19707,93406.9,60.48,23.94,64.26,49.29,50.4,80.24,0.393904
93679.6,62975,97489.3,26647.3,19775,88311.4,64.68,39.9,47.46,39.06,61.2,120.95,0.394933
100065,61140,107260,47850.6,35036,89506.1,52.92,60.48,18.9,42.78,58.5,74.93,0.394933
60261.6,37214,106124,24376,17098,93432.1,57.12,23.94,0.84,14.88,19.8,38.94,0.394933
91268.8,54588,109573,41091.1,31057,86709.8,129.36,75.18,40.74,0,60.3,110.92,0.39699
71445.5,41747,112158,36507.2,26999,88615.8,115.92,64.68,54.18,118.11,89.1,129.8,0.398018
63642.6,48341,86280.4,19079.8,16105,77641.2,-6.72,51.24,59.22,42.78,17.1,50.74,0.400075
55126.4,38942,92772.9,15167,12078,82297.3,24.36,32.34,40.32,19.53,16.2,43.07,0.402132
63896.7,48451,86428.2,22914.4,18095,82990.6,25.2,44.94,5.04,31.62,27,70.8,0.402132
83339.2,59787,91352.9,31300.9,21179,96857.1,45.36,71.82,57.96,10.23,49.5,78.47,0.402132
96693.1,65041,97429,31703.3,23823,87214.3,83.16,89.46,-32.34,48.36,45,100.89,0.404189
68833.1,50466,89387.8,16930.2,13830,80226.9,58.8,47.04,-57.54,32.55,76.5,71.98,0.404189
57594.6,40116,94090.1,36044.4,28184,83813.7,54.6,72.24,23.94,24.18,40.5,64.31,0.404189
69828.5,47331,96686.8,22979.9,18623,80868.2,17.64,44.52,-27.72,19.53,27,41.89,0.405218
91795.9,58109,103528,30704.5,23280,86436.9,63,34.44,-22.68,53.94,63.9,67.26,0.407275
61424.3,38448,104700,19941.6,14352,91060,40.32,42.84,44.94,93.93,26.1,28.91,0.407275
109767,70997,101324,45225.6,32109,92307.6,68.04,132.3,11.34,64.17,81,122.72,0.408303
61981.5,34959,116194,53728.9,38331,91862.4,36.96,88.62,37.38,49.29,81.9,137.47,0.408303
54604.2,30846,116013,42632.5,26362,105985,131.04,66.78,46.2,26.97,77.4,109.15,0.409331
95960.9,68589,91689.5,19307.4,14720,85959.9,61.32,51.24,5.88,54.87,45,73.16,0.409331
86080.4,64091,88021.2,20132.3,15979,82570.2,36.12,24.36,39.06,54.87,33.3,62.54,0.41036
130978,82471,104082,51586.9,25979,130136,52.08,74.76,26.04,102.3,105.3,146.32,0.411388
68551,45604,98512.4,21357,15626,89572,6.72,11.34,22.26,79.05,37.8,84.37,0.411388
55930.7,44231,82871.2,12974.6,10827,78535.7,42.84,28.14,49.56,24.18,36,13.57,0.413445
62884.5,47213,87289.5,62363.3,34096,119869,123.48,172.62,36.96,-17.67,155.7,112.69,0.415502
65099.3,42477,100439,15802.9,11577,89458.4,29.4,40.74,-16.8,19.53,25.2,47.79,0.417559
57883.7,45581,83224.7,16218.7,13312,79846,47.04,46.2,13.86,16.74,24.3,40.12,0.42373
66111.5,49738,87110.1,17797.1,13758,84776.1,55.44,46.2,41.16,79.05,51.3,83.78,0.430929
54649,39346,91025.2,12448,10102,80755.2,-0.84,13.02,-67.2,24.18,63,17.7,0.430929
73667.3,41867,115314,41381.8,21339,127091,102.48,110.04,12.18,106.95,121.5,139.24,0.439157
95736.2,61227,102474,34698.7,16363,138973,92.4,70.98,48.72,76.26,91.8,148.09,0.439157
66190.6,48993,88540.6,39381.7,27757,92982.7,53.76,78.96,5.46,45.57,43.2,107.38,0.443271
43147.3,34667,81567.5,16342.2,14038,76293.1,-32.76,0.42,51.24,12.09,2.7,22.42,0.447385
55232.1,39451,91751.6,16621.9,12390,87920.4,7.56,35.7,13.86,70.68,58.5,35.4,0.448413
66124.1,43777,98990.5,29364.7,20793,92552.6,52.92,55.44,9.66,63.24,51.3,103.84,0.452527
69344.1,51305,88578.8,24171,16708,94809.1,52.92,66.36,44.52,39.99,48.6,120.36,0.452527
66028.2,49483,87448.7,22699.3,17499,85011.9,21.84,50.4,49.14,39.99,-4.5,48.97,0.453556
64542.8,47579,88902.2,17540,14155,81208.3,24.36,19.32,0.84,28.83,10.8,32.45,0.453556
43627.5,37189,76882.2,16805,14433,76306.7,16.8,15.96,-14.28,26.04,5.4,10.62,0.454584
92141.7,55177,109440,29948.5,12900,152148,47.88,32.76,45.36,48.36,32.4,129.8,0.455613
