"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
72824.5,50471,94561.8,24380.2,17604,90762.2,1002.96,710.64,817.32,105.09,223.2,25211.3,0.294189
54945.1,37399,96282.8,23362.1,15939,96057.3,2252.04,690.48,704.34,79.05,114.3,22287.2,0.295232
104293,61931,110364,27600.7,19302,93712.6,1199.52,783.3,827.4,119.97,391.5,27167.1,0.295232
68379.5,48760,91905.6,25914,18556,91523,1875.72,383.04,366.24,71.61,121.5,14149.4,0.295232
40948.6,31255,85861.7,26650.7,16043,108869,1888.32,603.12,478.38,93,209.7,20038.8,0.297319
95081,54286,114785,30454.2,19854,100526,1987.44,760.2,829.08,48.36,207.9,25014.8,0.297319
113522,62478,119079,74563.4,31934,153022,5618.76,1382.22,1650.6,85.56,443.7,48527.5,0.297319
54404,37589,94852.8,43659,25993,110077,4383.96,557.76,669.9,30.69,202.5,20175.6,0.298362
61488,43185,93312,18280.9,13989,85642.9,1208.76,175.98,170.1,19.53,97.2,7445.8,0.298362
66588.9,47782,91330.8,19282.2,14378,87889.7,1170.96,254.52,374.64,57.66,140.4,8936.73,0.300449
87743.6,49246,116768,35384.2,23655,98031.5,393.96,136.92,107.94,88.35,271.8,3057.38,0.300449
98137.9,56520,113793,30864.1,21125,95749.6,2437.68,756,962.64,94.86,302.4,28389.6,0.301492
96707.1,51452,123179,71714.2,30568,153751,2826.6,887.46,1004.64,182.28,530.1,26738.8,0.301492
60902.1,33028,120845,47477.6,26124,119105,2462.88,771.12,897.54,67.89,215.1,23770.5,0.302535
85306.2,46579,120025,43424.6,27255,104417,3200.4,732.9,719.04,108.81,377.1,23313.3,0.302535
40038.6,26054,100713,27013.6,20714,85466.9,1286.04,396.06,435.54,29.76,142.2,13689.8,0.302535
72187.5,51439,91970.7,28628,21458,87434.4,2769.48,462.84,555.24,44.64,85.5,17518.3,0.304621
47182.8,38402,80521.1,15122.5,10934,90641.1,1455.72,258.3,218.82,21.39,181.8,10200.5,0.304621
98277.2,56412,114172,34670.2,24357,93285,654.36,388.92,395.22,116.25,341.1,11402.9,0.304621
59785.6,42053,93170.7,20398.6,13693,97629.4,1165.08,299.88,367.92,43.71,100.8,10081.9,0.304621
38264.8,26194,95736.5,24036.6,17838,88309.4,814.8,210,229.74,36.27,155.7,6736.62,0.305665
85041.6,56356,98894.3,28817,18772,100605,745.92,194.04,250.74,73.47,140.4,4153.6,0.305665
78393,45470,112988,38357.8,26851,93620.9,1009.68,372.12,345.24,60.45,161.1,9490.74,0.306708
51243.5,35589,94363.3,20263.3,15065,88149.8,712.32,186.9,183.96,2.79,76.5,6660.51,0.306708
75007.8,46988,104616,37086,26465,91837.1,1067.64,422.52,520.38,23.25,142.2,13238.4,0.306708
50323,33686,97903.2,22680,16350,90908.7,2002.56,379.68,428.4,53.94,124.2,14170.6,0.308794
46874.1,32733,93848.4,25718.3,16509,102094,2855.16,494.34,636.72,100.44,293.4,16463.9,0.311924
70762.3,44551,104094,30586.9,21999,91119.8,1648.92,520.38,493.5,74.4,126,17825.1,0.311924
42858.2,27198,103271,26171,14670,116915,1203.72,229.32,242.34,80.91,125.1,6694.14,0.314011
50899.8,31167,107029,23268.8,16706,91281.4,2804.76,505.68,536.34,58.59,155.7,19075.3,0.315054
75217.8,41636,118394,41541.4,22528,120848,3326.4,502.74,521.64,98.58,315.9,15052.1,0.318183
91767.2,58107,103500,27629.3,18726,96695.1,2655.24,605.22,549.36,117.18,211.5,20037,0.32027
82042.1,48038,111926,28596.1,19354,96831.4,1112.16,344.82,407.82,27.9,156.6,11888.5,0.324443
67892.3,48413,91904.9,14251.4,11341,82354.5,173.88,49.98,59.22,41.85,116.1,2092.14,0.324443
108184,60068,118032,100672,49792,132504,6693.12,1415.82,1988.28,137.64,744.3,51342.4,0.324443
56805,43601,85382.7,13078.8,10397,82440.3,414.96,259.56,286.02,50.22,85.5,8024.59,0.327572
