"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
50951.6,36037,92659.3,16971.4,12953,85867,617.4,534.24,658.56,64.17,80.1,18527.2,0.307411
57310.4,30339,123798,38908.8,19007,134157,1028.16,1171.38,1092.42,76.26,201.6,36113.3,0.307411
66919.3,45148,97138.8,26906,20213,87236.6,1128.96,955.08,1140.3,77.19,112.5,34261.3,0.307411
46989.6,31059,99150.3,26346.6,19363,89172.7,740.88,674.1,810.18,17.67,79.2,24525.1,0.309502
41237,26795,100859,20368.3,14943,89330,476.28,419.58,586.74,73.47,188.1,13477.4,0.311593
45192.7,31602,93720.3,20624.5,15310,88285.3,738.36,910.98,1204.56,82.77,163.8,28533.6,0.327277
51042.6,25463,131372,45144.1,20927,141375,2096.64,1338.12,1616.16,70.68,211.5,51813.8,0.329369
31454.5,15600,132141,41388.5,24884,109003,1050.84,1383.9,1657.32,14.88,143.1,44914.3,0.329369
53510.8,27434,127830,19825.7,11411,113863,490.56,653.52,724.5,64.17,174.6,17140.7,0.33146
32839.1,20820,103369,39427.9,23644,109286,189.84,237.72,365.82,12.09,68.4,7604.51,0.33146
34808.2,28833,79117.3,44173.1,36841,78579,709.8,427.56,403.62,16.74,257.4,9968.05,0.33146
82899.6,54508,99671.8,28114,20581,89523.2,986.16,725.76,979.86,3.72,96.3,26368.3,0.335642
67575.2,47900,92455.3,26274.4,18924,90991.1,707.28,776.16,1009.68,4.65,84.6,28891.7,0.337734
49287,34050,94862.6,28475.2,20586,90651.3,1690.08,706.02,916.86,28.83,146.7,27509.3,0.337734
63957.6,49471,84726.9,14941.9,12754,76778.6,792.96,355.74,414.54,-5.58,43.2,12468.5,0.337734
41773.2,24583,111363,26500.3,19291,90027.7,607.32,894.6,1293.18,69.75,142.2,34418.8,0.34087
31630.9,21211,97730.6,29274,21014,91296.3,226.8,840.84,1140.3,-25.11,80.1,30152.5,0.342962
43227.8,30620,92520.5,20566.6,14549,92642.1,1132.32,983.22,1185.66,20.46,180.9,33671.9,0.345053
62142.5,41288,98638.1,25927.4,18524,91728.6,2241.12,1217.16,1375.08,26.04,173.7,34163.4,0.346099
87944.5,46342,124369,48625.9,27482,115958,3372.6,1935.78,2779.14,34.41,142.2,79388.6,0.346099
42879.2,28830,97472.5,20275.1,14739,90151.8,495.6,812.28,826.14,64.17,100.8,23279.6,0.347144
36613.5,24263,98895.5,28837.2,16868,112039,601.44,846.3,927.78,43.71,243.9,21556.8,0.347144
38051.3,18156,137350,28266,14616,126741,658.56,764.82,1010.52,39.99,160.2,22790.5,0.350281
78985.2,49977,103575,24455.8,18301,87576.2,1211.28,1121.4,1515.36,64.17,179.1,39930.6,0.350281
31498.6,22049,93622.9,32485.3,22145,96137.2,2401.56,1036.56,1347.78,41.85,231.3,39830.3,0.350281
121597,76701,103897,54392.5,26509,134470,2948.4,2011.38,2199.54,119.04,420.3,71531,0.350281
55983.9,31233,117471,39738.7,19429,134043,2402.4,1565.76,1879.92,32.55,219.6,49823.1,0.351327
90012.3,55971,105395,53275.3,31471,110942,4823.28,1527.54,1972.74,81.84,406.8,67894.2,0.351327
53620,29409,119489,32428.2,20393,104213,2748.48,1889.58,2094.96,59.52,385.2,51069.2,0.351327
42846.3,25370,110681,23944.2,17507,89633.1,599.76,710.64,884.1,39.99,122.4,25697.4,0.352372
70597.1,48119,96150.2,30236.6,22607,87653.8,1114.68,861,1136.94,57.66,127.8,34047.7,0.353418
98345.8,65752,98022.7,29039.6,21400,88931.9,995.4,916.44,1128.12,44.64,125.1,33420.5,0.353418
57746.5,28526,132668,47557.4,23757,131192,3233.16,1580.46,2029.44,82.77,202.5,57494.9,0.353418
36060.5,22299,105981,29688.1,20662,94165.2,660.24,1095.36,1360.38,72.54,187.2,37875.6,0.354463
53461.8,37799,92692.2,25959.4,18511,91906,1268.4,1306.2,1423.38,54.87,167.4,46697.3,0.3576
41388.9,28508,95147.4,11067,8632,84023,400.68,268.38,341.88,39.06,68.4,11236,0.36492
67207.7,48737,90373.3,24408.7,18865,84794.6,970.2,1080.66,1368.78,80.91,122.4,44060.6,0.365965
71799.7,46745,100662,25066.4,17945,91543.8,1627.08,860.16,1203.3,76.26,99.9,30954.9,0.368056
72167.2,47127,100358,23410,16519,92874.6,1334.76,1274.7,1647.66,85.56,202.5,50135.8,0.373285
81858.7,52816,101573,27889.7,20080,91024.8,756.84,711.06,801.36,34.41,128.7,26806.6,0.375376
139537,77302,118299,40390.6,27066,97799.3,1208.76,1087.38,1413.72,121.83,383.4,38604.9,0.377467
45260.6,24111,123023,35437.1,21231,109387,1504.44,1651.86,2147.88,26.04,118.8,62232,0.383741
63644.7,44914,92866.8,15704.6,12154,84681.5,425.88,401.1,363.72,37.2,94.5,14332.9,0.385832
42418.6,30436,91337.4,21273.8,13856,100621,786.24,898.38,1106.28,12.09,39.6,36115.7,0.388969
69201.3,40894,110901,23571.2,16179,95479.6,709.8,1129.38,1136.1,106.02,294.3,33467.2,0.388969
68035.8,35522,125522,88997.2,40614,143609,5838,3782.1,4445.7,131.13,580.5,137061,0.390014
87833.9,52131,110420,44677.1,28624,102290,1306.2,1048.32,1067.22,82.77,201.6,35519.8,0.39106
78495.2,53076,96922.5,34222.4,22700,98801.8,345.24,448.14,338.94,85.56,205.2,11995.3,0.394197
82310.2,42548,126781,45705.2,23488,127526,2446.08,2265.9,2809.8,114.39,333,81422.4,0.395242
36904,22933,105461,21851.8,16089,89009.7,877.8,942.06,1128.96,64.17,218.7,30940.8,0.396288
77079.8,56690,89107.5,20455.7,15314,87539.7,411.6,404.88,413.7,78.12,126.9,13296.8,0.397334
54010.6,38129,92833.2,17021.8,13713,81348.9,551.04,448.14,606.48,51.15,89.1,17577.3,0.398379
48080.9,33569,93867.3,17696.3,13689,84720.8,615.72,796.74,883.26,63.24,206.1,28663.4,0.402562
54383,38982,91427.9,18158.3,13358,89086.8,156.24,131.46,170.94,60.45,116.1,4822.66,0.40779
42686.7,30108,92916,18947,13468,92197.3,459.48,514.92,530.46,46.5,85.5,19288.9,0.410927
34419,23699,95180.5,26439,15479,111939,1538.04,1184.82,1523.76,101.37,139.5,41917.7,0.418246
