"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%3) - 0.5 + (Event #/(4082 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
314041,211121,138,416919,295001,126,404,271,0,-0.474284,535,405,0,753,527,0,-17,67,0,-53,31,0,0.456883
471565,255965,145,325637,194994,139,156,223,0,0.525961,217,168,0,4974,3364,53,-1,54,0,134,74,0,0.460788
322836,196964,129,130013,81719,126,35,83,0,1.52621,65,93,0,2555,1784,36,-140,28,0,-32,69,0,0.463716
384171,233704,136,333740,196783,131,299,156,0,-0.473549,154,161,0,5488,3778,53,40,62,0,-12,51,0,0.465669
221464,165059,110,253721,198754,119,14,97,0,-0.472814,99,166,0,2919,2364,38,16,61,0,-50,53,0,0.471526
391889,238588,133,286769,153885,135,270,137,0,1.52768,33,80,0,15,63,0,208,96,0,-48,55,0,0.474455
299222,188368,132,373872,251427,127,218,85,0,1.52841,24,129,0,102,175,0,32,61,0,1,34,0,0.491051
296218,191215,139,214423,150804,125,40,90,0,0.529635,66,74,0,14569,10756,69,-140,18,0,68,80,0,0.50179
427779,234442,132,279679,159051,139,70,99,0,1.52988,170,149,0,7533,4970,60,-57,47,0,-19,40,0,0.502766
269200,173491,129,154021,97571,126,-35,65,0,-0.469875,46,86,0,1712,1223,21,-115,43,0,-22,73,0,0.503742
356305,213539,130,127745,90405,126,51,60,0,-0.468406,68,160,0,3305,2434,43,213,83,0,-113,43,0,0.531077
349487,221425,126,193805,124053,132,-24,62,0,-0.467671,72,100,0,3370,2373,42,24,93,0,122,103,0,0.534982
142914,126797,109,101409,90399,103,234,198,0,1.53282,388,451,0,151,165,0,-113,44,0,-13,31,0,0.538887
346747,194474,170,161043,93757,154,-38,61,0,1.53355,159,105,0,1445,960,0,-204,21,0,62,44,0,0.548649
423307,281762,125,151491,95880,125,0,73,0,-0.466201,59,127,0,2481,1907,35,-158,16,0,-63,50,0,0.549626
313642,232788,119,122022,84524,121,46,82,0,1.53429,-82,94,0,1967,1589,28,39,42,0,-2,52,0,0.551578
259441,182902,121,119792,91405,119,-108,49,0,0.535513,37,91,0,2498,2008,33,38,87,0,-45,44,0,0.575984
258811,180639,126,210541,152574,123,10,45,0,-0.463997,42,77,0,4433,3710,44,21,79,0,12,101,0,0.576961
462027,256237,143,187591,107554,137,102,102,0,0.536248,53,117,0,2274,1431,32,50,53,0,35,50,0,0.589652
270313,200085,124,86125,62796,118,-167,21,0,1.53649,-12,61,0,1511,1280,19,19,61,0,-95,59,0,0.590628
350544,178969,138,151989,78270,136,-88,53,0,-0.463262,116,72,0,2307,1592,33,147,86,0,39,76,0,0.593557
283303,209490,115,73017,53172,114,90,52,0,-0.462528,-5,86,0,1006,771,0,60,99,0,-145,37,0,0.605272
194278,121102,136,300381,149590,136,250,153,0,0.537717,-18,57,0,1565,856,0,0,72,0,-107,64,0,0.607224
156072,116384,121,171811,148373,110,221,115,0,-0.461793,52,253,0,256,313,0,-23,37,0,-34,41,0,0.613082
370056,239593,124,132252,86859,124,141,183,0,-0.459589,212,247,0,1973,1464,27,148,80,0,7,28,0,0.654084
265395,166567,129,103894,63476,121,-81,58,0,-0.458119,-10,95,0,1255,954,0,-33,33,0,29,48,0,0.673609
385320,207925,142,276571,153668,141,97,136,0,0.542126,117,87,0,448,316,0,100,99,0,61,62,0,0.681419
384478,218487,134,104901,63118,126,2,75,0,1.54237,-25,82,0,2368,1759,34,90,71,0,19,45,0,0.681419
306846,220438,125,105808,72455,118,-20,63,0,-0.457384,136,117,0,973,648,0,52,85,0,-8,53,0,0.684348
376539,218806,143,208786,119473,133,16,54,0,1.54384,129,108,0,2517,1602,35,90,91,0,74,77,0,0.697039
364540,253999,121,132269,91749,121,187,95,0,-0.455915,2,111,0,1668,1312,21,77,75,0,-190,20,0,0.698015
556366,331506,149,179736,103545,134,16,55,0,1.54458,81,103,0,2511,1590,35,-51,33,0,-60,87,0,0.708754
531095,286934,150,309080,164168,147,206,90,0,-0.45518,43,98,0,10781,6417,71,-8,82,0,-45,41,0,0.710706
175980,146099,105,83928,67181,107,39,103,0,0.5458,215,156,0,157,175,0,-70,52,0,114,106,0,0.737065
419811,250673,128,173750,105664,123,-14,93,0,-0.45371,78,88,0,1571,1105,15,26,68,0,-14,71,0,0.741946
200554,132836,122,78284,53740,114,0,55,0,1.54678,33,91,0,1082,705,0,-37,39,0,-65,36,0,0.743898
280911,184341,131,133994,87495,123,-85,81,0,-0.452976,130,113,0,1901,1280,24,62,63,0,-10,75,0,0.743898
138860,122548,121,222430,171799,108,147,159,0,0.548739,109,145,0,770,616,0,19,82,0,-2,42,0,0.77221
433965,247265,132,159549,92932,133,-15,55,0,-0.450771,73,72,0,2135,1474,31,88,83,0,-40,70,0,0.780996
393534,250209,125,168613,109807,129,31,68,0,-0.450037,9,62,0,2900,2107,39,-77,45,0,40,59,0,0.783924
275728,196506,124,93519,65796,117,-13,90,0,1.55119,96,164,0,2200,1647,30,-59,27,0,55,51,0,0.790758
396003,251465,129,181483,112318,128,112,69,0,-0.448567,39,82,0,2973,2016,41,19,98,0,116,74,0,0.799544
204748,161522,112,313839,240592,119,307,293,0,0.552412,589,608,0,44,90,0,-50,26,0,-107,45,0,0.816141
347381,222780,128,109423,67137,125,-89,28,0,1.55486,161,114,0,1775,1252,22,50,74,0,25,67,0,0.857143
312490,212375,131,117934,82752,120,73,84,0,-0.444159,-79,47,0,1678,1366,21,-35,38,0,-79,29,0,0.879596
180776,118348,118,288398,162444,126,275,111,0,1.55633,68,110,0,1898,1127,18,157,87,0,166,89,0,0.880573
394361,259757,125,190166,129938,129,133,136,0,-0.443424,109,110,0,2544,1892,35,27,83,0,-42,58,0,0.880573
292286,203905,129,92353,62937,120,85,109,0,1.55707,9,75,0,1502,1092,14,-39,56,0,-15,41,0,0.884478
365097,236303,146,120827,80048,126,56,83,0,-0.442689,78,126,0,2298,1540,30,-70,62,0,-43,52,0,0.88643
389963,234210,138,125113,72246,129,52,115,0,-0.441954,215,131,0,95,121,0,-6,43,0,76,100,0,0.895216
329637,218316,132,122051,81544,122,2,51,0,0.55829,-114,66,0,1614,1305,20,-24,49,0,-65,45,0,0.901074
227340,161021,116,106722,80212,116,28,89,0,1.55854,-12,74,0,740,607,0,4,46,0,-12,50,0,0.90986
285608,205318,119,97221,64069,117,-25,64,0,-0.440485,78,98,0,644,495,0,77,64,0,-68,46,0,0.91767
402214,224504,153,169263,92493,131,121,88,0,1.56,32,103,0,3371,2009,45,6,59,0,-133,65,0,0.92548
495529,247268,148,344377,206230,145,191,150,0,0.561229,351,377,0,863,588,0,1,72,0,72,75,0,0.949886
398559,256539,142,204167,136557,129,-124,22,0,1.56147,7,86,0,64,71,0,84,78,0,-39,54,0,0.963553
187140,142137,108,64733,53920,106,-55,34,0,-0.438281,-23,89,0,1883,1631,26,14,57,0,4,54,0,0.963553
225165,168170,129,110551,83961,113,79,91,0,1.56368,155,148,0,1266,1096,11,32,72,0,96,69,0,0.99577
133309,109860,117,143696,90070,119,13,59,0,-0.436076,86,89,0,122,146,0,21,73,0,24,53,0,0.997722
521197,290291,143,153830,85581,136,-24,66,0,0.564169,-8,78,0,2189,1459,31,-19,47,0,17,43,0,1.00553
242593,185876,127,74724,54765,113,-51,62,0,1.56441,-59,52,0,1315,1127,14,1,53,0,-114,52,0,1.00651
323184,230726,123,110590,75432,118,52,75,0,1.56515,38,85,0,2058,1653,30,4,48,0,-44,40,0,1.01041
524931,306273,138,227471,142127,137,218,136,0,-0.432403,135,207,0,5563,3608,55,230,100,0,-19,47,0,1.0602
295165,203233,139,118104,83591,120,44,85,0,0.570047,90,163,0,532,361,0,-17,59,0,80,73,0,1.09339
294512,208131,117,119269,84447,117,-30,77,0,-0.429464,17,85,0,1724,1425,24,-75,45,0,92,103,0,1.09632
479617,240789,142,485231,233350,157,210,119,0,0.571516,350,380,0,8708,5138,68,-155,27,0,-18,42,0,1.12073
333509,237835,123,136683,98345,116,113,64,0,1.57176,12,60,0,2116,1666,31,-19,42,0,-97,57,0,1.12073
136894,76007,119,115175,63150,125,76,84,0,0.572251,229,247,0,264,173,0,90,86,0,19,46,0,1.13733
247906,181745,120,83373,60473,115,12,75,0,1.5725,-25,42,0,1645,1344,21,-28,52,0,-154,12,0,1.1383
242169,179376,123,73015,53221,112,136,98,0,-0.426525,-2,98,0,806,733,0,-11,44,0,-163,29,0,1.16759
381177,242022,136,164386,108236,127,71,131,0,1.57617,159,156,0,392,335,0,-25,94,0,-14,56,0,1.22323
354217,212736,131,211816,142769,131,354,225,0,-0.422116,247,239,0,1997,1257,30,-10,79,0,5,65,0,1.24666
236553,117793,124,246626,134686,131,-59,72,0,-0.420647,83,149,0,211,147,0,48,48,0,-6,55,0,1.27498
425587,228558,154,348633,204221,139,346,146,0,-0.419177,269,193,0,2356,1572,35,-15,80,0,44,68,0,1.28864
216383,157065,122,98915,73172,112,36,92,0,0.581068,120,120,0,1985,1686,28,-46,55,0,-33,22,0,1.28962
657302,333497,152,624432,333207,156,154,162,0,0.582537,171,215,0,2158,1338,24,24,42,0,9,59,0,1.31305
358304,221701,145,226298,104117,148,-47,58,0,0.583272,82,96,0,1609,1333,23,98,113,0,-57,44,0,1.31793
231221,173151,117,279173,198099,126,267,173,0,-0.415503,284,255,0,394,299,0,-33,99,0,-91,38,0,1.32965
251217,189121,114,77577,57524,112,66,71,0,0.585476,12,97,0,1448,1211,17,76,58,0,-6,40,0,1.33746
578940,321267,142,268534,157429,139,74,76,0,0.588415,211,169,0,11039,7188,67,16,82,0,-140,47,0,1.38529
128288,111389,105,138854,93506,112,-27,68,0,0.592089,55,91,0,73,75,0,2,53,0,-36,38,0,1.41848
374263,240112,126,177755,110093,128,64,69,0,1.59233,129,146,0,2742,2037,38,71,48,0,115,80,0,1.42044
241464,164601,120,161387,113078,118,-27,56,0,0.592824,33,132,0,1515,1252,20,30,71,0,-11,55,0,1.42336
216572,158828,113,96501,71340,111,-10,67,0,0.593559,-8,70,0,917,728,0,42,44,0,-58,88,0,1.43801
254168,169676,117,138883,106993,114,-69,72,0,1.59454,82,149,0,4721,3793,46,48,130,0,106,78,0,1.45363
319268,169224,137,364154,174382,143,226,195,0,0.595763,128,113,0,803,447,0,86,103,0,33,46,0,1.47901
260061,174286,138,104182,70898,119,161,90,0,1.59601,78,108,0,1807,1450,26,-7,51,0,40,79,0,1.47999
353742,254231,123,143654,103274,121,-22,68,0,-0.403747,68,127,0,1000,826,0,15,59,0,-33,69,0,1.48292
350204,247132,125,129144,87042,118,116,92,0,-0.403012,0,70,0,1604,1301,22,117,106,0,34,81,0,1.49365
253831,154508,129,286253,194481,130,83,75,0,-0.402278,-6,70,0,8701,5571,65,-169,66,0,-37,48,0,1.50732
420656,226941,136,274324,156607,138,229,82,0,0.598702,94,73,0,2746,1730,40,27,77,0,-31,54,0,1.52294
