"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
142893,119448,104,122209,99107,109,51,47,0,284,320,0,306,212,0,-148,17,0,-38,43,0,0.171629
175009,124978,113,204520,161807,118,-36,45,0,440,329,0,893,867,0,142,85,0,103,73,0,0.17358
129596,98617,111,135309,107294,108,56,87,0,118,170,0,203,202,0,-25,62,0,-6,48,0,0.174555
195984,135601,133,134326,113491,116,118,144,0,129,122,0,2567,2081,32,-43,39,0,81,50,0,0.17748
316536,183394,141,145250,93701,129,-21,63,0,158,79,0,3602,2684,43,198,69,0,85,57,0,0.183331
255661,170031,123,134662,102247,116,-93,83,0,99,112,0,2717,2105,37,63,48,0,11,35,0,0.185282
188179,129371,133,68565,50972,112,2025,1465,24,5,105,0,42,70,0,-84,63,0,52,73,0,0.186257
323034,224311,125,122004,84195,122,64,105,0,0,63,0,4734,3564,49,90,65,0,123,75,0,0.187232
243524,177103,126,72294,52451,114,36,63,0,118,89,0,546,385,0,-15,26,0,-90,42,0,0.188207
340665,232433,124,120736,77184,122,122,101,0,162,138,0,4781,3724,48,45,43,0,40,60,0,0.188207
159110,141859,103,158113,131082,109,-6,49,0,307,211,0,402,418,0,36,82,0,-43,29,0,0.191133
224384,174908,114,65543,55942,106,40,66,0,21,104,0,730,580,0,79,53,0,-25,78,0,0.193083
353752,199332,133,149258,102025,127,70,85,0,115,90,0,6297,4384,56,-18,44,0,-94,60,0,0.195033
331564,238027,130,157253,115030,121,2528,1928,33,31,84,0,64,72,0,37,62,0,112,85,0,0.197959
307085,163582,127,148256,108389,118,29,88,0,90,109,0,6176,4423,57,9,48,0,-15,74,0,0.197959
180925,137130,120,170305,127668,117,8,78,0,127,98,0,300,338,0,16,69,0,-94,37,0,0.198934
238280,165550,121,92618,74757,114,-69,39,0,96,95,0,2300,1826,32,6,57,0,64,65,0,0.201859
240474,171666,125,105841,78639,114,29,60,0,126,123,0,4312,3431,45,-63,72,0,100,93,0,0.216487
257842,195290,115,86487,69372,135,-1,83,0,-2,59,0,1301,1149,15,-147,15,0,160,83,0,0.217462
229207,168139,124,134504,110442,116,23,101,0,42,107,0,4968,3791,49,208,119,0,93,68,0,0.217462
200607,118746,129,116003,89232,115,115,67,0,71,101,0,1915,1637,27,7,47,0,-15,44,0,0.219412
131567,112340,102,132863,110272,108,58,62,0,272,240,0,301,305,0,-24,58,0,59,61,0,0.220387
306186,210397,121,144477,98678,121,13,77,0,27,83,0,2559,1851,34,-75,68,0,118,110,0,0.220387
186972,143739,112,213767,164152,113,-11,39,0,258,204,0,752,681,0,-79,44,0,30,65,0,0.221363
251012,193240,115,184546,142398,121,51,104,0,220,287,0,369,450,0,5,72,0,47,47,0,0.225263
262925,196985,116,75314,56504,114,-5,84,0,-10,110,0,1886,1569,26,77,76,0,30,41,0,0.226238
253422,170648,117,45604,33886,112,-44,57,0,-88,37,0,1956,1472,26,-55,68,0,-66,63,0,0.229164
313343,215695,129,120038,84330,121,-7,89,0,155,110,0,2792,2066,37,134,144,0,-85,47,0,0.233065
424735,258319,131,248406,157947,134,134,73,0,89,117,0,627,410,0,-202,2,0,-20,60,0,0.23794
442646,254142,131,215134,128243,133,128,130,0,173,126,0,8751,6190,62,190,116,0,-90,43,0,0.239891
351810,242614,127,139109,98299,121,43,111,0,47,100,0,6024,4475,53,-35,45,0,79,65,0,0.241841
456551,262918,148,209485,125575,140,144,89,0,81,99,0,3652,2272,51,-136,41,0,-74,48,0,0.241841
316533,217012,141,218143,149948,123,14,87,0,113,96,0,3779,3057,43,32,66,0,-57,55,0,0.242816
131436,94024,108,102114,73616,111,1411,917,0,-82,32,0,-27,73,0,56,62,0,-16,52,0,0.243791
382444,243523,130,166322,106072,127,164,120,0,94,84,0,5455,3858,52,21,67,0,164,77,0,0.243791
158579,101019,117,192453,132699,117,-37,64,0,-9,75,0,-101,54,0,-30,28,0,-1,34,0,0.244767
319186,166696,148,191625,138236,130,4,48,0,67,121,0,4808,3171,51,-36,64,0,84,62,0,0.244767
319429,236786,127,73668,54413,116,-84,72,0,-81,56,0,2401,1899,33,38,67,0,120,92,0,0.248667
346481,199200,132,163214,106563,133,71,78,0,152,139,0,4420,2936,53,93,97,0,-85,52,0,0.249642
304173,235902,128,114532,91143,116,50,46,0,5,129,0,1891,1529,28,2,59,0,53,93,0,0.251593
