"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
60126.5,36400,108254,32457.6,24572,86567.7,93.24,72.24,-37.8,85.56,27.9,132.75,0.350572
81925.2,57807,92878.9,21238.6,16347,85146.5,49.56,73.5,-4.62,128.34,68.4,88.5,0.351628
49534.1,34017,95430.7,22333.9,17497,83653,58.8,51.66,51.66,103.23,71.1,92.63,0.352684
70793.1,48010,96636,31065.7,22570,90204.8,87.36,63.84,29.82,153.45,95.4,123.9,0.35374
45900.4,29145,103213,31786.4,20996,99216.8,64.68,46.2,77.28,89.28,71.1,138.65,0.355852
61688.9,43599,92727.9,20101.2,15666,84089.9,24.36,27.72,5.46,122.76,27,86.14,0.359019
54784.1,40900,87783.1,19496.4,15912,80298.9,-5.04,39.9,-31.5,59.52,42.3,32.45,0.360075
78027.6,55566,92027.8,21097.4,16867,81973.2,36.12,2.94,76.44,127.41,52.2,58.41,0.361131
105071,71035,96936.9,32974.2,24646,87681.5,49.56,53.76,4.2,92.07,31.5,97.94,0.361131
82380.9,56446,95647.4,34242.6,26794,83754.7,74.76,58.8,70.14,87.42,61.2,83.78,0.362187
62412.7,37075,110324,34048.6,22839,97701.6,70.56,65.52,44.1,98.58,63,53.1,0.362187
42792.4,31481,89083.7,13934.8,12020,75975.7,40.32,21.84,65.52,53.01,-23.4,67.26,0.364299
47245.8,31085,99607.5,21980.3,15568,92529.5,89.88,53.76,113.82,58.59,55.8,51.33,0.364299
99489.6,67852,96093.7,24404.5,18085,88436.5,108.36,37.38,3.36,101.37,108,69.62,0.365355
57359.4,43725,85971.5,21346.9,18176,76969.2,71.4,13.02,29.4,80.91,57.6,87.32,0.365355
92112.3,63895,94478,35308.6,26087,88702.5,84,49.98,8.82,128.34,72.9,112.69,0.365355
93853.2,62500,98412.2,37856.3,24956,99412.9,82.32,60.06,96.6,106.95,71.1,112.1,0.366411
90111,54718,107926,24731.3,17502,92605.9,70.56,47.88,-16.8,106.95,39.6,67.85,0.367467
81846.1,53267,100698,22320.5,15531,94185.5,62.16,73.08,45.78,143.22,88.2,72.57,0.367467
47156.2,38447,80381.5,49145,41407,77783.2,40.32,110.88,28.14,64.17,281.7,74.34,0.368523
71530.9,49666,94387.5,18876.5,14446,85635.4,47.04,59.22,83.58,74.4,37.8,70.21,0.369579
64342.6,49879,84539.7,29314.3,23415,82047.5,38.64,48.3,-2.94,36.27,16.2,70.8,0.369579
83652.1,60635,90413.5,17110.8,13983,80195.5,55.44,57.12,25.62,75.33,47.7,33.63,0.370635
41334.3,32459,83455.6,38329.2,30470,82439.9,87.36,68.88,31.92,53.94,54.9,47.79,0.371691
109145,68298,104731,26988.4,19571,90374,53.76,30.66,43.26,99.51,20.7,138.65,0.372747
44382.8,37758,77034.6,17124.2,13783,81423.1,44.52,38.64,31.08,92.07,20.7,93.22,0.372747
91016.1,61380,97178.7,29231.2,21642,88517.4,42.84,72.66,22.68,86.49,13.5,162.84,0.373803
59552.5,39506,98790.9,28455.8,19322,96516,92.4,50.82,-34.86,79.05,47.7,62.54,0.375915
86932.3,52755,107993,25344.5,17427,95310.5,49.56,33.18,38.64,106.02,45,70.21,0.37697
72998.1,57154,83703.7,13535.8,11578,76617.7,31.92,17.22,2.1,77.19,25.2,36.58,0.37697
107319,68241,103065,37128.8,26834,90678.8,48.72,91.14,21,83.7,23.4,159.3,0.380138
85274.7,64809,86231.3,32613.8,26781,79809.6,13.44,73.92,7.56,89.28,14.4,77.29,0.380138
83715.1,57877,94793.3,30476,24729,80766.6,52.92,68.88,30.66,87.42,77.4,96.76,0.38225
67265.1,42857,102860,48704.9,21001,151989,103.32,82.32,7.14,66.03,8.1,178.18,0.384362
52601.5,39749,86726.5,17648.4,14065,82232.9,31.08,23.1,11.76,-0.93,9.9,66.67,0.385418
59982.3,43001,91416.5,21157.1,16996,81581,21,42.84,42,61.38,-8.1,88.5,0.385418
50189.3,40355,81506.8,11444.2,10235,73278.4,10.92,48.3,-38.64,39.99,27.9,69.62,0.389642
117394,79245,97085.6,129312,96944,87417.5,318.36,261.66,38.22,27.9,117.9,208.27,0.395977
71534.4,54180,86527.8,30383.6,22504,88483,40.32,39.48,-34.86,42.78,37.8,59.59,0.395977
88980.5,64195,90839.3,24266.8,18927,84025.3,5.88,22.26,-60.48,42.78,-0.9,55.46,0.400201
57827,38692,97946.6,30353.4,20876,95288.4,72.24,42.84,50.4,56.73,26.1,117.41,0.404425
89687.5,62661,93802.5,36569.4,28005,85578,43.68,42.42,35.28,48.36,71.1,123.9,0.405481
51405.2,31062,108457,41221.3,28130,96035.6,97.44,60.06,41.16,-3.72,61.2,101.48,0.406537
41159.3,23222,116158,20876.5,15810,86537.9,24.36,42,-28.14,-21.39,20.7,24.78,0.406537
71689.1,54791,85748,16048.2,13187,79755.4,10.92,31.92,-39.06,13.02,18.9,44.25,0.406537
75853.4,60454,82229.9,17509,13742,83500.7,67.2,58.38,-14.28,13.02,38.7,53.69,0.407593
75103,49563,99306.9,30193.8,21430,92336.9,139.44,81.48,98.7,75.33,105.3,206.5,0.409705
59525.2,38533,101239,21635,16709,84856.9,-21,35.7,-1.68,32.55,33.3,77.29,0.411816
72088.8,55314,85410.8,20966.4,17098,80363.4,20.16,28.56,21.42,24.18,36.9,60.18,0.417096
