"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
53241.3,34064,102431,16059.1,12724,82713.8,37.8,36.54,21,78.12,3141,31.27,0.271852
58775.5,28393,135664,39150.7,20473,125325,89.04,50.4,11.34,66.03,3034.8,89.68,0.271852
62995.8,42643,96815.3,17990.3,13731,85864.9,58.8,29.82,-48.3,89.28,4424.4,86.73,0.272943
62193.6,37906,107527,48102.6,31034,101581,187.32,141.12,114.24,161.82,7774.2,94.4,0.274035
78702.4,47703,108124,27393.2,19860,90394.9,80.64,38.64,37.8,139.5,4767.3,52.51,0.275127
73024.7,44550,107424,16486.7,12714,84982.8,62.16,44.1,31.08,75.33,202.5,36.58,0.275127
39459,25231,102492,24124,18306,86364.5,64.68,73.92,2.1,99.51,5278.5,56.05,0.275127
81720.1,53847,99459.7,20414.5,13611,98294.5,58.8,28.98,-44.52,118.11,5317.2,35.99,0.276219
41131.3,24246,111176,17867.6,12814,91382.4,42.84,13.44,-1.68,63.24,3869.1,55.46,0.27731
54492.2,35571,100396,13583.6,10256,86799.7,26.88,34.02,36.96,39.06,2568.6,-4.72,0.27731
51059.4,34552,96846.2,16891.6,12696,87193.2,28.56,33.6,38.64,80.91,4652.1,55.46,0.278402
112186,64061,114769,83560.7,33993,161099,176.4,179.76,130.62,123.69,5631.3,168.74,0.278402
31838.1,17948,116255,34319,22812,98594.3,90.72,90.3,47.04,121.83,5903.1,94.99,0.278402
62618.5,46314,88607.5,14770.6,12039,80405.6,21.84,22.68,-10.5,62.31,2028.6,65.49,0.278402
34996.5,23890,96003.8,22186.9,16310,89150.3,94.92,36.96,108.36,97.65,3346.2,72.57,0.279494
71072.4,42086,110673,29668.8,21937,88634.5,79.8,47.88,-21.42,114.39,5607,92.04,0.280586
40423.6,26646,99422.1,21931.6,16014,89753.1,94.92,59.64,44.1,79.98,2475.9,62.54,0.280586
64362.9,37288,113122,45885,27265,110292,147.84,120.12,61.32,139.5,6475.5,135.7,0.281677
70208.6,40581,113383,29605,21414,90603.8,95.76,42.84,-6.72,146.01,5901.3,74.34,0.281677
68936.7,37786,119564,54868,26487,135758,130.2,94.92,85.68,159.03,10105.2,191.16,0.282769
61628.7,41178,98083.9,22681.7,17635,84290.7,20.16,56.7,27.72,92.07,4002.3,89.68,0.282769
52744.3,34699,99618.2,20519.5,16678,80631.2,9.24,10.08,16.8,64.17,3860.1,-17.11,0.282769
48472.2,31225,101735,30460.9,23044,86629.4,39.48,47.88,9.24,79.98,3934.8,63.72,0.283861
56786.8,38772,95986.3,16098.6,12784,82528,48.72,23.94,22.68,63.24,2327.4,17.7,0.284953
59995.6,39665,99127,31101.8,18281,111498,105,90.72,7.14,115.32,5904.9,96.76,0.286045
52087.7,27772,122916,54426.1,25004,142652,168.84,143.22,109.2,136.71,4498.2,63.72,0.286045
58262.4,41051,93013.2,22819.4,18390,81321.1,15.12,56.7,87.78,40.92,2941.2,7.67,0.287136
83269.2,43798,124598,83872.3,27186,202187,244.44,123.06,134.82,336.66,15637.5,197.06,0.287136
68455.1,41833,107242,15545.9,11433,89111.8,57.12,39.48,74.76,116.25,8130.6,54.87,0.288228
39256.7,34740,74056.6,23068.1,19872,76076.4,21.84,13.44,24.78,52.08,3921.3,31.27,0.288228
50670.2,36617,90688,19673.6,14061,91695.6,33.6,31.5,-28.14,77.19,3915,58.41,0.28932
56204.4,43898,83908.4,13912.1,10899,83653.7,44.52,20.58,52.5,55.8,2054.7,28.32,0.28932
60790.1,39851,99970.9,17098.2,12875,87032.8,77.28,22.26,-6.72,86.49,4474.8,70.8,0.290412
