recombined_construct,target,lane,adj_band_vol_int,band_vol_int,adj_lane_vol_int,lane_vol_int,bkgd_vol_int,norm_factor
G758A,ace2,1,33675660,38031120,34689060,46270620,11581560,N/A
G755A,ace2,2,37900055,42139430,38692935,49731970,11039035,N/A
G875A,ace2,3,23915516,27042138,24505652,33190393,8684741,N/A
G822A,ace2,4,30390514,34145188,31126865,41112687,9985822,N/A
G821A,ace2,5,20697439,23626277,21323353,30036435,8713082,N/A
G825F,ace2,6,29750747,33119038,30410630,39170813,8760183,N/A
G757A,ace2,7,32687223,36142413,33306638,42108629,8801991,N/A
G876C,ace2,8,39989185,44363370,40787505,51927775,11140270,N/A
G820E,ace2,9,31630681,35294186,32286805,41808560,9521755,N/A
G823B,ace2,10,22342752,25557408,22957344,32289984,9332640,N/A
G900A,ace2,11,23182804,26151440,23751634,32352692,8601058,N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
