date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,comment
200721,22,Tube_022,Two_color,G542Ac3,G752A/G758A,24-well,G764B,G699A,1250,24-well,34898,NA,55.263912,1.17702,28.058915,86.713644,NA,NA,too_high
200721,23,Tube_023,Two_color,G542Ac3,G752A/G758A,24-well,G776C,G699A,1400,24-well,64057,NA,37.922475,0.135847,42.953932,0.298019,NA,NA,
200721,24,Tube_024,Two_color,G542Ac3,G752A/G758A,24-well,G778B,G699A,1400,24-well,100790,NA,40.695506,0.090206,39.964282,1.328203,NA,NA,
200721,25,Tube_025,Staining,G542Ac3,None,24-well,None,None,No_dox,No_dox,18448,NA,0.16804,NA,NA,NA,40.588242,566.565063,
200721,26,Tube_026,Staining,G542Ac3,G627B,24-well,None,None,No_dox,No_dox,22328,NA,2.543891,NA,NA,NA,43.240967,94.133102,
200721,27,Tube_027,Staining,G542Ac3,G698C,24-well,None,None,No_dox,No_dox,21441,NA,0.340469,NA,NA,NA,40.436741,567.777832,
200721,28,Tube_028,Staining,G542Ac3,G714C,24-well,None,None,No_dox,No_dox,23288,NA,0.386465,NA,NA,NA,38.485794,224.983078,
200721,29,Tube_029,Staining,G542Ac3,G719B,24-well,None,None,No_dox,No_dox,25261,NA,0.443371,NA,NA,NA,41.722645,307.24231,
200721,30,Tube_030,Staining,G542Ac3,None,24-well,None,None,Dox,Dox,25031,NA,0.207742,NA,NA,NA,48.929985,646.308655,
200721,31,Tube_031,Staining,G542Ac3,G627B,24-well,None,None,Dox,Dox,26358,NA,97.264588,NA,NA,NA,1946.706909,2057.760986,
200721,32,Tube_032,Staining,G542Ac3,G698C,24-well,None,None,Dox,Dox,27602,NA,95.134411,NA,NA,NA,1898.048706,1958.634766,
200721,33,Tube_033,Staining,G542Ac3,G714C,24-well,None,None,Dox,Dox,22481,NA,99.319425,NA,NA,NA,2031.634155,2070.173828,
200721,34,Tube_034,Staining,G542Ac3,G719B,24-well,None,None,Dox,Dox,22638,NA,99.986748,NA,NA,NA,1599.325806,1599.565552,
