date,tube_number,tube_id,expt,cell_bkgd,recombined_construct,plate_well,pseudovirus_env,pseudovirus_vec,pseudovirus_inoc,cell_number,live_singlets,pct_grn,pct_red,pct_grn_gvn_red,pct_nir,pct_grn_gvn_nir,mfi_grn,mfi_grn_gvn_red,comment
200721,1,Tube_001,Two_color,G542Ac3,G752A/G758A,24-well,VSVG,G699A,15,24-well,56396,NA,33.314419,0.298063,56.05894,0.294164,NA,NA,
200721,2,Tube_002,Two_color,G542Ac3,G752A/G758A,24-well,SARS1,G699A,150,24-well,65374,NA,36.332487,0.029471,53.01649,10.381142,NA,NA,
200721,3,Tube_003,Two_color,G542Ac3,G752A/G758A,24-well,SARS1,G699A,1250,24-well,38533,NA,52.596476,1.139784,29.675862,85.430695,NA,NA,too_high
200721,4,Tube_004,Two_color,G542Ac3,G752A/G758A,24-well,SARS2,G699A,1400,24-well,47779,NA,37.976935,0.055112,40.009209,8.029923,NA,NA,
200721,5,Tube_005,Two_color,G542Ac3,G752A/G758A,24-well,WIV1,G699A,1400,24-well,51854,NA,37.736722,0.168643,41.859837,3.754722,NA,NA,
200721,6,Tube_006,Two_color,G542Ac3,G752A/G758A,24-well,NL63,G699A,1400,24-well,50420,NA,37.695359,0.136799,41.548988,0.200487,NA,NA,
200721,7,Tube_007,Two_color,G542Ac3,G752A/G758A,24-well,MERS,G699A,1400,24-well,52221,NA,38.8924,0.226489,40.707761,0.390441,NA,NA,
200721,8,Tube_008,Two_color,G542Ac3,G752A/G758A,24-well,HKU4,G699A,150,24-well,51836,NA,36.329964,0.01062,53.360599,0,NA,NA,too_low
200721,9,Tube_009,Two_color,G542Ac3,G752A/G758A,24-well,HKU4,G699A,1250,24-well,47650,NA,37.857293,0.177393,41.336831,0.258923,NA,NA,
200721,10,Tube_010,Two_color,G542Ac3,G752A/G758A,24-well,ZdM,G699A,150,24-well,56591,NA,36.572953,0.057979,53.093248,0.043267,NA,NA,
200721,11,Tube_011,Two_color,G542Ac3,G752A/G758A,24-well,ZdM,G699A,1250,24-well,50636,NA,37.676752,2.49502,43.69421,2.268927,NA,NA,
200721,12,Tube_012,Two_color,G542Ac3,G752A/G758A,24-well,Marb,G699A,150,24-well,62151,NA,36.512687,0.771163,53.228428,0.613627,NA,NA,
200721,13,Tube_013,Two_color,G542Ac3,G752A/G758A,24-well,Marb,G699A,1350,24-well,49809,NA,37.234235,27.445271,44.359453,25.571396,NA,NA,
200721,14,Tube_014,Two_color,G542Ac3,G752A/G758A,24-well,LFV,G699A,150,24-well,70217,NA,36.679152,0.562997,52.833359,0.40703,NA,NA,
200721,15,Tube_015,Two_color,G542Ac3,G752A/G758A,24-well,LFV,G699A,1250,24-well,64605,NA,39.332869,8.724568,42.666976,9.522946,NA,NA,
200721,16,Tube_016,Two_color,G542Ac3,G752A/G758A,24-well,LCMV,G699A,150,24-well,69754,NA,37.752674,4.192299,52.074433,3.31186,NA,NA,
200721,17,Tube_017,Two_color,G542Ac3,G752A/G758A,24-well,LCMV,G699A,1250,24-well,57481,NA,37.89948,43.787009,45.559402,42.691309,NA,NA,
200721,18,Tube_018,Two_color,G542Ac3,G752A/G758A,24-well,Junin,G699A,150,24-well,102544,NA,38.453737,0.020288,51.004447,0.011472,NA,NA,
200721,19,Tube_019,Two_color,G542Ac3,G752A/G758A,24-well,Junin,G699A,1250,24-well,48046,NA,38.084336,0.32244,43.058735,0.493039,NA,NA,
200721,20,Tube_020,Two_color,G542Ac3,G752A/G758A,24-well,G740D,G699A,1400,24-well,55054,NA,40.465725,0.148128,40.805391,47.273537,NA,NA,
200721,21,Tube_021,Two_color,G542Ac3,G752A/G758A,24-well,G764B,G699A,150,24-well,67335,NA,36.469889,0.016289,53.070469,11.087169,NA,NA,
